team,year,win,games_played,win_pct,points_scored,points_allowed,point_diff,rank,points
Elon,2015,4,11,0.3636363636363636,147,273,-126,214,1.97
Elon,2016,2,11,0.1818181818181818,134,338,-204,231,6.67
Elon,2017,8,12,0.6666666666666666,256,298,-42,210,11.06
Elon,2018,6,11,0.5454545454545454,268,260,8,219,15.61
Elon,2019,5,11,0.4545454545454545,276,297,-21,245,6.67
Elon,2020,1,6,0.1666666666666666,104,185,-81,206,11.15
Elon,2021,6,11,0.5454545454545454,265,287,-22,220,16.08
Elon,2022,8,12,0.6666666666666666,309,256,53,166,36.99
Florida,2015,10,14,0.7142857142857143,325,256,69,3,291.89
Florida,2016,9,13,0.6923076923076923,311,218,93,9,267.4
Florida,2017,4,11,0.3636363636363636,243,300,-57,21,227.46
Florida,2018,10,13,0.7692307692307693,455,260,195,12,260.96
Florida,2019,11,13,0.8461538461538461,432,201,231,11,251.23
Florida,2020,8,12,0.6666666666666666,478,370,108,14,259.56
Florida,2021,6,13,0.4615384615384615,399,348,51,9,276.85
Florida,2022,6,13,0.4615384615384615,384,375,9,8,272.99
Florida,2023,5,12,0.4166666666666667,341,331,10,13,261.62
Florida A&M,2015,1,11,0.0909090909090909,161,369,-208,172,15.66
Florida A&M,2016,4,11,0.3636363636363636,206,361,-155,295,-0.03
Florida A&M,2017,3,11,0.2727272727272727,242,309,-67,159,32.93
Florida A&M,2018,6,11,0.5454545454545454,290,243,47,147,63.31
Florida A&M,2019,9,11,0.8181818181818182,360,301,59,206,18.09
Florida A&M,2021,9,12,0.75,333,204,129,234,9.93
Florida Atlantic,2015,3,12,0.25,270,345,-75,96,119.58
Florida Atlantic,2016,3,12,0.25,317,477,-160,94,111.77
Florida Atlantic,2017,11,14,0.7857142857142857,568,318,250,79,146.02
Florida Atlantic,2018,5,12,0.4166666666666667,373,380,-7,89,132.74
Florida Atlantic,2019,11,14,0.7857142857142857,510,318,192,60,171.18
Florida Atlantic,2020,5,9,0.5555555555555556,170,157,13,75,163.9
Florida Atlantic,2021,5,12,0.4166666666666667,305,309,-4,60,178.99
Florida Atlantic,2022,5,12,0.4166666666666667,357,319,38,73,162.51
Florida Atlantic,2023,4,12,0.3333333333333333,285,306,-21,82,153.21
Florida International,2015,5,12,0.4166666666666667,306,358,-52,114,98.08
Florida International,2016,4,12,0.3333333333333333,288,418,-130,109,100.66
Florida International,2017,8,13,0.6153846153846154,333,370,-37,100,120.42
Florida International,2018,9,13,0.6923076923076923,450,328,122,104,119.8
Florida International,2019,6,13,0.4615384615384615,344,354,-10,83,137.75
Florida International,2020,0,5,0.0,112,162,-50,69,173.58
Florida International,2021,1,12,0.0833333333333333,244,476,-232,88,152.57
Florida International,2022,4,12,0.3333333333333333,224,447,-223,74,162.27
Florida International,2023,4,12,0.3333333333333333,241,382,-141,83,152.13
Florida State,2015,10,13,0.7692307692307693,412,227,185,11,262.69
Florida State,2016,10,13,0.7692307692307693,456,325,131,4,286.79
Florida State,2017,7,13,0.5384615384615384,362,276,86,3,287.06
Florida State,2018,5,12,0.4166666666666667,263,378,-115,3,294.83
Florida State,2019,6,13,0.4615384615384615,363,362,1,6,292.88
Florida State,2020,3,9,0.3333333333333333,232,324,-92,11,265.42
Florida State,2021,5,12,0.4166666666666667,331,318,13,19,244.31
Florida State,2022,10,13,0.7692307692307693,469,268,201,22,238.41
Florida State,2023,13,14,0.9285714285714286,484,270,214,22,214.97
Fordham,2015,9,12,0.75,442,367,75,195,8.51
Fordham,2016,8,11,0.7272727272727273,441,331,110,171,18.92
Fordham,2017,4,11,0.3636363636363636,239,384,-145,235,5.0
Fordham,2018,2,11,0.1818181818181818,174,310,-136,211,19.12
Fordham,2019,4,12,0.3333333333333333,300,388,-88,196,24.95
Fordham,2020,2,3,0.6666666666666666,95,59,36,168,27.25
Fordham,2021,6,11,0.5454545454545454,370,351,19,186,32.49
Fordham,2022,9,12,0.75,594,434,160,195,21.45
Fordham,2023,6,11,0.5454545454545454,335,272,63,187,8.69
Fresno State,2015,3,12,0.25,267,457,-190,75,142.76
Fresno State,2016,1,12,0.0833333333333333,212,371,-159,84,124.42
Fresno State,2017,10,14,0.7142857142857143,380,251,129,72,155.02
Fresno State,2018,12,14,0.8571428571428571,485,198,287,85,137.22
Fresno State,2019,4,12,0.3333333333333333,360,361,-1,84,137.74
Fresno State,2020,3,6,0.5,197,180,17,92,141.73
Fresno State,2021,10,13,0.7692307692307693,434,267,167,87,153.5
Fresno State,2022,10,14,0.7142857142857143,428,272,156,121,131.51
Fresno State,2023,9,13,0.6923076923076923,396,305,91,74,159.11
Furman,2015,4,11,0.3636363636363636,193,318,-125,136,37.08
Furman,2016,3,11,0.2727272727272727,301,298,3,148,30.83
Furman,2017,8,13,0.6153846153846154,424,311,113,160,32.92
Furman,2018,6,10,0.6,272,282,-10,170,45.22
Furman,2019,8,13,0.6153846153846154,435,267,168,219,12.6
Furman,2020,3,7,0.4285714285714285,148,143,5,158,34.46
Furman,2021,6,11,0.5454545454545454,267,259,8,180,34.69
Furman,2022,10,13,0.7692307692307693,430,263,167,158,43.15
Gardner-Webb,2015,4,11,0.3636363636363636,141,227,-86,210,5.98
Gardner-Webb,2017,1,11,0.0909090909090909,177,311,-134,189,16.8
Gardner-Webb,2018,3,11,0.2727272727272727,221,407,-186,190,29.25
Gardner-Webb,2019,3,12,0.25,287,434,-147,257,1.97
Gardner-Webb,2020,2,4,0.5,99,112,-13,177,23.2
Gardner-Webb,2021,4,11,0.3636363636363636,326,335,-9,241,6.3
Gardner-Webb,2023,7,12,0.5833333333333334,322,337,-15,185,8.92
Georgetown,2015,4,11,0.3636363636363636,222,296,-74,217,0.0
Georgetown,2016,3,11,0.2727272727272727,166,256,-90,216,8.93
Georgetown,2017,1,11,0.0909090909090909,138,299,-161,229,6.92
Georgetown,2018,5,11,0.4545454545454545,172,232,-60,208,19.96
Georgetown,2021,2,10,0.2,190,306,-116,166,45.58
Georgetown,2022,2,11,0.1818181818181818,249,401,-152,163,40.93
Georgetown,2023,5,11,0.4545454545454545,283,284,-1,147,29.42
Georgia,2015,10,13,0.7692307692307693,342,220,122,12,260.38
Georgia,2016,8,13,0.6153846153846154,319,312,7,8,273.39
Georgia,2017,13,15,0.8666666666666667,531,246,285,6,282.54
Georgia,2018,11,14,0.7857142857142857,530,269,261,6,281.31
Georgia,2019,12,14,0.8571428571428571,431,176,255,3,301.6
Georgia,2020,8,10,0.8,323,200,123,1,323.31
Georgia,2021,14,15,0.9333333333333332,579,153,426,2,309.12
Georgia,2022,15,15,1.0,616,214,402,1,313.34
Georgia,2023,13,14,0.9285714285714286,562,219,343,3,294.55
Georgia Southern,2015,9,13,0.6923076923076923,474,306,168,135,40.99
Georgia Southern,2016,5,12,0.4166666666666667,319,318,1,96,111.25
Georgia Southern,2017,2,12,0.1666666666666666,250,386,-136,85,137.18
Georgia Southern,2018,10,13,0.7692307692307693,396,280,116,77,149.4
Georgia Southern,2019,7,13,0.5384615384615384,366,366,0,106,118.78
Georgia Southern,2020,8,13,0.6153846153846154,354,270,84,90,146.64
Georgia Southern,2021,3,12,0.25,243,377,-134,121,125.24
Georgia Southern,2022,6,13,0.4615384615384615,425,411,14,98,145.22
Georgia Southern,2023,6,13,0.4615384615384615,392,396,-4,92,141.76
Georgia State,2015,6,13,0.4615384615384615,350,368,-18,111,101.05
Georgia State,2016,3,12,0.25,239,319,-80,105,102.91
Georgia State,2017,7,12,0.5833333333333334,244,297,-53,124,90.61
Georgia State,2018,2,12,0.1666666666666666,286,449,-163,127,96.32
Georgia State,2019,7,13,0.5384615384615384,406,471,-65,105,119.23
Georgia State,2020,6,10,0.6,333,317,16,95,140.45
Georgia State,2021,8,13,0.6153846153846154,366,352,14,98,140.37
Georgia State,2022,4,12,0.3333333333333333,360,374,-14,110,140.52
Georgia State,2023,7,13,0.5384615384615384,354,391,-37,102,134.55
Georgia Tech,2015,3,12,0.25,351,309,42,70,149.34
Georgia Tech,2016,9,13,0.6923076923076923,367,318,49,54,175.71
Georgia Tech,2017,5,11,0.4545454545454545,309,292,17,44,185.45
Georgia Tech,2018,7,13,0.5384615384615384,437,381,56,60,167.13
Georgia Tech,2019,3,12,0.25,200,389,-189,48,184.4
Georgia Tech,2020,3,10,0.3,239,368,-129,44,196.94
Georgia Tech,2021,3,12,0.25,288,402,-114,51,188.28
Georgia Tech,2022,5,12,0.4166666666666667,206,341,-135,26,222.73
Georgia Tech,2023,7,13,0.5384615384615384,404,383,21,47,186.82
Grambling,2015,7,10,0.7,391,312,79,205,6.67
Grambling,2016,12,13,0.9230769230769232,549,205,344,197,13.18
Grambling,2020,0,4,0.0,66,147,-81,149,44.91
Grambling,2021,4,11,0.3636363636363636,189,304,-115,232,10.64
Grambling,2022,3,11,0.2727272727272727,249,363,-114,193,22.25
Grambling,2023,5,11,0.4545454545454545,316,314,2,154,24.49
Grand Valley State University,2021,10,12,0.8333333333333334,456,223,233,169,41.63
Hampton,2016,5,11,0.4545454545454545,213,269,-56,214,9.04
Hampton,2017,6,11,0.5454545454545454,236,243,-7,204,12.87
Hampton,2018,6,9,0.6666666666666666,301,266,35,218,15.61
Hampton,2021,5,11,0.4545454545454545,308,347,-39,231,11.0
Hampton,2022,4,11,0.3636363636363636,220,298,-78,190,22.89
Harvard,2015,9,10,0.9,364,130,234,130,51.51
Harvard,2016,7,10,0.7,262,210,52,140,41.25
Harvard,2017,5,10,0.5,220,209,11,129,67.37
Harvard,2018,6,10,0.6,304,218,86,139,74.84
Harvard,2019,4,10,0.4,296,228,68,125,99.16
Harvard,2021,8,10,0.8,324,149,175,127,121.09
Harvard,2022,6,10,0.6,269,236,33,140,77.67
Harvard,2023,8,10,0.8,318,202,116,129,70.08
Hawai'i,2015,3,13,0.2307692307692307,229,463,-234,78,139.5
Hawai'i,2016,7,14,0.5,396,522,-126,99,108.34
Hawai'i,2017,3,12,0.25,273,407,-134,122,98.16
Hawai'i,2018,8,14,0.5714285714285714,431,491,-60,108,111.87
Hawai'i,2019,10,15,0.6666666666666666,508,478,30,86,133.96
Hawai'i,2020,5,9,0.5555555555555556,236,248,-12,96,138.46
Hawai'i,2021,6,13,0.4615384615384615,374,408,-34,115,129.53
Hawai'i,2022,3,13,0.2307692307692307,257,451,-194,127,124.35
Hawai'i,2023,5,13,0.3846153846153846,278,419,-141,127,90.15
Holy Cross,2016,4,11,0.3636363636363636,259,355,-96,184,15.49
Holy Cross,2017,4,11,0.3636363636363636,254,279,-25,203,13.29
Holy Cross,2018,5,11,0.4545454545454545,268,286,-18,213,18.82
Holy Cross,2019,7,13,0.5384615384615384,297,316,-19,185,30.54
Holy Cross,2020,3,4,0.75,90,68,22,193,16.26
Holy Cross,2021,10,13,0.7692307692307693,419,240,179,161,51.84
Holy Cross,2022,12,13,0.9230769230769232,486,279,207,162,41.97
Holy Cross,2023,7,11,0.6363636363636364,406,283,123,181,10.14
Houston,2015,13,14,0.9285714285714286,566,290,276,57,171.4
Houston,2016,9,13,0.6923076923076923,466,305,161,75,144.26
Houston,2017,7,12,0.5833333333333334,339,286,53,89,131.58
Houston,2018,8,13,0.6153846153846154,571,483,88,36,201.5
Houston,2019,4,12,0.3333333333333333,368,408,-40,69,160.34
Houston,2020,3,8,0.375,240,256,-16,73,166.86
Houston,2021,12,14,0.8571428571428571,502,286,216,72,165.39
Houston,2022,8,13,0.6153846153846154,469,418,51,82,155.32
Houston,2023,4,12,0.3333333333333333,284,378,-94,81,153.47
Houston Christian,2015,1,10,0.1,157,396,-239,180,12.64
Houston Christian,2016,4,11,0.3636363636363636,207,383,-176,213,9.34
Houston Christian,2018,1,11,0.0909090909090909,301,481,-180,239,9.95
Houston Christian,2019,5,12,0.4166666666666667,429,441,-12,178,34.26
Houston Christian,2020,1,4,0.25,135,188,-53,176,24.06
Houston Christian,2021,0,11,0.0,191,459,-268,164,47.53
Houston Christian,2022,2,11,0.1818181818181818,198,405,-207,198,20.55
Howard,2016,2,11,0.1818181818181818,208,383,-175,242,3.98
Howard,2018,4,10,0.4,336,341,-5,285,-0.03
Howard,2019,2,12,0.1666666666666666,199,539,-340,191,27.75
Howard,2020,0,2,0.0,38,54,-16,156,34.71
Howard,2021,3,11,0.2727272727272727,260,328,-68,168,43.12
Howard,2023,6,12,0.5,342,285,57,149,27.3
Idaho,2015,4,12,0.3333333333333333,364,505,-141,124,80.11
Idaho,2016,9,13,0.6923076923076923,400,407,-7,129,77.86
Idaho,2017,4,12,0.3333333333333333,251,309,-58,121,98.54
Idaho,2018,4,11,0.3636363636363636,274,412,-138,123,101.42
Idaho,2019,5,12,0.4166666666666667,308,406,-98,134,83.36
Idaho,2020,2,6,0.3333333333333333,140,161,-21,132,90.2
Idaho,2021,4,11,0.3636363636363636,279,347,-68,137,99.19
Idaho,2022,7,12,0.5833333333333334,431,305,126,134,96.43
Idaho,2023,9,13,0.6923076923076923,420,287,133,132,62.38
Idaho State,2016,1,10,0.1,220,448,-228,194,13.29
Idaho State,2017,4,11,0.3636363636363636,309,391,-82,224,8.57
Idaho State,2018,6,11,0.5454545454545454,388,363,25,169,45.42
Idaho State,2019,3,12,0.25,270,418,-148,234,8.17
Idaho State,2020,2,6,0.3333333333333333,155,192,-37,179,21.73
Idaho State,2021,1,11,0.0909090909090909,168,375,-207,146,72.23
Idaho State,2022,1,11,0.0909090909090909,151,402,-251,165,39.12
Illinois,2015,5,12,0.4166666666666667,272,279,-7,51,176.35
Illinois,2016,3,12,0.25,236,383,-147,72,153.35
Illinois,2017,2,12,0.1666666666666666,185,378,-193,48,181.74
Illinois,2018,4,12,0.3333333333333333,312,473,-161,73,153.64
Illinois,2019,6,13,0.4615384615384615,347,340,7,46,185.24
Illinois,2020,2,8,0.25,161,279,-118,54,185.83
Illinois,2021,5,12,0.4166666666666667,242,263,-21,53,184.37
Illinois,2022,8,13,0.6153846153846154,315,166,149,87,152.9
Illinois,2023,5,12,0.4166666666666667,294,353,-59,73,159.12
Illinois State,2015,10,13,0.7692307692307693,451,276,175,158,22.06
Illinois State,2016,6,12,0.5,312,262,50,130,75.99
Illinois State,2017,6,11,0.5454545454545454,287,213,74,163,32.28
Illinois State,2018,6,11,0.5454545454545454,350,220,130,182,34.92
Illinois State,2019,10,15,0.6666666666666666,297,240,57,156,54.55
Illinois State,2020,1,4,0.25,69,86,-17,163,30.7
Illinois State,2021,4,11,0.3636363636363636,202,246,-44,149,69.17
Illinois State,2022,6,11,0.5454545454545454,190,224,-34,153,56.34
Indiana,2015,6,13,0.4615384615384615,475,489,-14,42,190.33
Indiana,2016,6,13,0.4615384615384615,335,354,-19,48,180.46
Indiana,2017,5,12,0.4166666666666667,322,304,18,53,175.35
Indiana,2018,5,12,0.4166666666666667,317,359,-42,53,172.23
Indiana,2019,8,13,0.6153846153846154,413,317,96,62,167.99
Indiana,2020,6,8,0.75,231,162,69,50,190.77
Indiana,2021,2,12,0.1666666666666666,207,399,-192,36,202.63
Indiana,2022,4,12,0.3333333333333333,279,407,-128,58,177.39
Indiana,2023,3,12,0.25,266,359,-93,54,177.78
Indiana State,2015,5,11,0.4545454545454545,305,346,-41,146,28.73
Indiana State,2016,4,11,0.3636363636363636,274,359,-85,150,30.33
Indiana State,2017,0,11,0.0,158,494,-336,185,19.63
Indiana State,2018,7,11,0.6363636363636364,349,310,39,176,39.37
Indiana State,2019,5,12,0.4166666666666667,235,274,-39,197,24.61
Indiana State,2021,5,11,0.4545454545454545,175,330,-155,187,32.33
Indiana State,2022,2,11,0.1818181818181818,176,360,-184,208,16.73
Iowa,2015,12,14,0.8571428571428571,433,285,148,56,171.96
Iowa,2016,8,13,0.6153846153846154,324,245,79,58,171.84
Iowa,2017,8,13,0.6153846153846154,367,259,108,59,169.99
Iowa,2018,9,13,0.6923076923076923,405,231,174,47,181.39
Iowa,2019,10,13,0.7692307692307693,335,182,153,41,191.44
Iowa,2020,6,8,0.75,254,128,126,39,203.34
Iowa,2021,10,14,0.7142857142857143,328,269,59,41,199.36
Iowa,2022,8,13,0.6153846153846154,230,173,57,35,203.81
Iowa,2023,10,14,0.7142857142857143,216,207,9,23,213.89
Iowa State,2015,3,12,0.25,300,392,-92,63,159.52
Iowa State,2016,3,12,0.25,332,376,-44,59,171.65
Iowa State,2017,8,13,0.6153846153846154,380,272,108,64,166.5
Iowa State,2018,8,13,0.6153846153846154,348,298,50,55,170.58
Iowa State,2019,7,13,0.5384615384615384,418,337,81,52,180.53
Iowa State,2020,9,12,0.75,395,257,138,55,185.19
Iowa State,2021,7,13,0.5384615384615384,407,267,140,46,192.25
Iowa State,2022,4,12,0.3333333333333333,242,243,-1,46,190.9
Iowa State,2023,7,13,0.5384615384615384,341,296,45,59,175.58
Jackson State,2015,2,10,0.2,218,348,-130,148,28.24
Jackson State,2016,3,11,0.2727272727272727,203,317,-114,188,14.23
Jackson State,2017,3,11,0.2727272727272727,140,284,-144,218,9.56
Jackson State,2018,5,10,0.5,165,245,-80,185,31.8
Jackson State,2019,4,12,0.3333333333333333,313,429,-116,188,28.73
Jackson State,2023,7,11,0.6363636363636364,300,263,37,85,147.9
Jacksonville,2015,9,11,0.8181818181818182,335,210,125,174,14.62
Jacksonville,2016,5,10,0.5,326,333,-7,198,12.94
Jacksonville,2017,7,11,0.6363636363636364,324,385,-61,265,-0.03
Jacksonville State,2015,13,15,0.8666666666666667,584,299,285,134,42.28
Jacksonville State,2016,10,12,0.8333333333333334,371,219,152,136,47.91
Jacksonville State,2017,10,12,0.8333333333333334,346,180,166,133,59.0
Jacksonville State,2018,9,13,0.6923076923076923,520,323,197,151,58.06
Jacksonville State,2019,6,12,0.5,328,331,-3,148,66.06
Jacksonville State,2020,10,13,0.7692307692307693,369,229,140,142,72.9
Jacksonville State,2021,5,11,0.4545454545454545,242,312,-70,145,79.23
Jacksonville State,2022,9,11,0.8181818181818182,398,252,146,210,16.49
Jacksonville State,2023,9,13,0.6923076923076923,392,275,117,160,16.83
James Madison,2015,9,12,0.75,531,344,187,178,13.66
James Madison,2016,14,15,0.9333333333333332,700,318,382,166,20.2
James Madison,2017,14,15,0.9333333333333332,516,167,349,135,46.41
James Madison,2018,9,13,0.6923076923076923,441,190,251,156,55.72
James Madison,2019,14,16,0.875,640,251,389,147,67.71
James Madison,2020,7,8,0.875,269,132,137,171,26.73
James Madison,2021,12,14,0.8571428571428571,536,216,320,147,70.12
James Madison,2022,8,11,0.7272727272727273,407,230,177,170,35.08
James Madison,2023,11,13,0.8461538461538461,443,253,190,140,46.14
Kansas,2015,0,12,0.0,183,553,-370,49,180.28
Kansas,2016,2,12,0.1666666666666666,243,448,-205,50,177.14
Kansas,2017,1,12,0.0833333333333333,224,521,-297,73,153.94
Kansas,2018,3,12,0.25,286,360,-74,70,159.19
Kansas,2019,3,12,0.25,282,433,-151,71,159.35
Kansas,2020,0,9,0.0,142,414,-272,60,178.59
Kansas,2021,2,12,0.1666666666666666,249,506,-257,70,165.84
Kansas,2022,6,13,0.4615384615384615,463,461,2,57,178.97
Kansas,2023,9,13,0.6923076923076923,452,345,107,52,183.13
Kansas State,2015,6,13,0.4615384615384615,389,409,-20,64,158.71
Kansas State,2016,9,13,0.6923076923076923,419,290,129,49,178.29
Kansas State,2017,8,13,0.6153846153846154,420,327,93,54,175.02
Kansas State,2018,5,12,0.4166666666666667,270,305,-35,72,155.49
Kansas State,2019,8,13,0.6153846153846154,385,278,107,61,169.37
Kansas State,2020,4,10,0.4,266,322,-56,66,175.65
Kansas State,2021,8,13,0.6153846153846154,358,273,85,62,177.4
Kansas State,2022,10,14,0.7142857142857143,452,306,146,51,182.46
Kansas State,2023,9,13,0.6923076923076923,482,273,209,56,176.98
Kennesaw State,2016,8,11,0.7272727272727273,428,239,189,146,32.95
Kennesaw State,2017,12,14,0.8571428571428571,421,217,204,193,15.83
Kennesaw State,2018,11,13,0.8461538461538461,565,200,365,207,20.0
Kennesaw State,2019,11,14,0.7857142857142857,530,262,268,160,51.87
Kennesaw State,2020,4,5,0.8,148,91,57,147,52.74
Kennesaw State,2021,11,13,0.8461538461538461,427,253,174,150,69.12
Kennesaw State,2022,5,11,0.4545454545454545,302,385,-83,154,55.15
Kennesaw State,2023,3,9,0.3333333333333333,235,161,74,157,20.61
Kent State,2015,3,12,0.25,157,313,-156,118,95.27
Kent State,2016,3,12,0.25,247,344,-97,123,86.65
Kent State,2017,2,12,0.1666666666666666,153,421,-268,102,119.93
Kent State,2018,2,12,0.1666666666666666,287,440,-153,131,82.77
Kent State,2019,7,13,0.5384615384615384,380,414,-34,128,94.88
Kent State,2020,3,4,0.75,199,152,47,100,127.72
Kent State,2021,7,14,0.5,462,508,-46,102,138.12
Kent State,2022,5,12,0.4166666666666667,341,348,-7,108,141.52
Kent State,2023,1,12,0.0833333333333333,176,415,-239,118,119.36
Kentucky,2015,5,12,0.4166666666666667,296,329,-33,34,195.55
Kentucky,2016,7,13,0.5384615384615384,390,407,-17,22,225.4
Kentucky,2017,7,13,0.5384615384615384,332,367,-35,38,193.19
Kentucky,2018,10,13,0.7692307692307693,346,219,127,34,204.07
Kentucky,2019,8,13,0.6153846153846154,353,251,102,30,207.73
Kentucky,2020,5,11,0.4545454545454545,240,285,-45,37,206.91
Kentucky,2021,10,13,0.7692307692307693,420,282,138,34,203.49
Kentucky,2022,7,13,0.5384615384615384,265,250,15,23,229.87
Kentucky,2023,7,13,0.5384615384615384,378,336,42,32,205.02
LSU,2015,9,12,0.75,394,291,103,6,281.05
LSU,2016,8,12,0.6666666666666666,340,189,151,2,299.29
LSU,2017,9,13,0.6923076923076923,354,246,108,5,284.37
LSU,2018,10,13,0.7692307692307693,421,283,138,2,295.03
LSU,2019,15,15,1.0,726,328,398,7,287.66
LSU,2020,5,10,0.5,320,349,-29,15,254.38
LSU,2021,6,13,0.4615384615384615,345,346,-1,5,284.06
LSU,2022,10,14,0.7142857142857143,483,315,168,4,300.54
LSU,2023,10,13,0.7692307692307693,592,364,228,4,291.37
Lafayette,2016,2,11,0.1818181818181818,216,386,-170,181,15.94
Lafayette,2017,3,11,0.2727272727272727,132,299,-167,150,35.89
Lafayette,2018,3,11,0.2727272727272727,143,323,-180,224,14.44
Lafayette,2019,4,12,0.3333333333333333,221,319,-98,170,40.25
Lafayette,2020,2,3,0.6666666666666666,57,61,-4,180,20.12
Lafayette,2021,3,11,0.2727272727272727,182,259,-77,237,8.42
Lafayette,2022,4,11,0.3636363636363636,139,239,-100,240,6.97
Lafayette,2023,9,12,0.75,360,280,80,182,10.14
Lamar,2015,5,11,0.4545454545454545,394,334,60,173,14.99
Lamar,2016,3,11,0.2727272727272727,230,336,-106,180,16.46
Lamar,2017,1,10,0.1,175,385,-210,233,6.31
Lamar,2018,7,12,0.5833333333333334,371,340,31,135,79.32
Lamar,2019,4,12,0.3333333333333333,265,380,-115,166,47.23
Lamar,2020,2,6,0.3333333333333333,97,250,-153,152,41.65
Lamar,2021,1,10,0.1,123,398,-275,175,35.77
Lamar,2023,6,11,0.5454545454545454,270,259,11,141,39.38
Lehigh,2015,6,11,0.5454545454545454,355,388,-33,165,20.11
Lehigh,2016,9,12,0.75,466,323,143,225,7.43
Lehigh,2017,5,12,0.4166666666666667,430,492,-62,182,21.25
Lehigh,2018,3,11,0.2727272727272727,183,386,-203,178,37.73
Lehigh,2019,4,11,0.3636363636363636,173,235,-62,198,24.26
Lehigh,2020,0,3,0.0,16,46,-30,204,11.91
Lehigh,2022,2,11,0.1818181818181818,189,325,-136,239,6.97
Lehigh,2023,2,11,0.1818181818181818,203,343,-140,164,14.77
Liberty,2016,6,11,0.5454545454545454,302,286,16,224,7.63
Liberty,2017,6,11,0.5454545454545454,358,334,24,142,38.13
Liberty,2018,6,12,0.5,399,442,-43,180,35.65
Liberty,2019,8,13,0.6153846153846154,427,365,62,171,40.17
Liberty,2020,10,11,0.9090909090909092,420,226,194,137,80.33
Liberty,2021,8,13,0.6153846153846154,437,280,157,135,108.39
Liberty,2022,8,13,0.6153846153846154,358,320,38,95,146.5
Liberty,2023,13,14,0.9285714285714286,536,340,196,111,129.14
Louisiana,2015,4,12,0.3333333333333333,317,382,-65,80,138.35
Louisiana,2016,6,13,0.4615384615384615,307,329,-22,107,102.49
Louisiana,2017,5,12,0.4166666666666667,338,480,-142,78,146.18
Louisiana,2018,7,14,0.5,447,479,-32,106,115.83
Louisiana,2019,11,14,0.7857142857142857,531,276,255,121,104.33
Louisiana,2020,10,11,0.9090909090909092,370,242,128,105,124.91
Louisiana,2021,13,14,0.9285714285714286,435,259,176,76,158.45
Louisiana,2022,6,13,0.4615384615384615,340,297,43,79,158.34
Louisiana,2023,6,13,0.4615384615384615,418,372,46,79,154.78
Louisiana Tech,2015,9,13,0.6923076923076923,488,349,139,89,124.51
Louisiana Tech,2016,9,14,0.6428571428571429,620,470,150,89,119.17
Louisiana Tech,2017,7,13,0.5384615384615384,396,330,66,82,142.32
Louisiana Tech,2018,8,13,0.6153846153846154,321,299,22,94,128.91
Louisiana Tech,2019,10,13,0.7692307692307693,422,284,138,100,121.72
Louisiana Tech,2020,5,10,0.5,267,347,-80,77,162.18
Louisiana Tech,2021,3,12,0.25,336,408,-72,83,155.46
Louisiana Tech,2022,3,12,0.25,348,455,-107,75,162.08
Louisiana Tech,2023,3,12,0.25,311,401,-90,121,108.45
Louisville,2015,8,13,0.6153846153846154,373,313,60,36,194.03
Louisville,2016,9,13,0.6923076923076923,553,309,244,45,183.64
Louisville,2017,8,13,0.6153846153846154,495,356,139,33,201.4
Louisville,2018,2,12,0.1666666666666666,237,529,-292,38,196.02
Louisville,2019,8,13,0.6153846153846154,430,434,-4,34,205.15
Louisville,2020,4,11,0.3636363636363636,325,293,32,30,213.58
Louisville,2021,6,13,0.4615384615384615,411,355,56,69,165.93
Louisville,2022,8,13,0.6153846153846154,350,249,101,42,194.46
Louisville,2023,10,14,0.7142857142857143,430,298,132,38,198.01
Maine,2015,3,11,0.2727272727272727,164,237,-73,200,7.32
Maine,2016,6,11,0.5454545454545454,245,288,-43,234,6.59
Maine,2017,4,10,0.4,246,233,13,223,8.86
Maine,2018,10,14,0.7142857142857143,371,327,44,286,-0.11
Maine,2019,6,12,0.5,352,353,-1,226,10.24
Maine,2021,6,11,0.5454545454545454,275,297,-22,205,22.07
Maine,2023,2,11,0.1818181818181818,259,360,-101,174,12.51
Marist,2016,5,11,0.4545454545454545,276,321,-45,279,-0.03
Marist,2017,4,11,0.3636363636363636,234,338,-104,199,13.67
Marist,2019,4,11,0.3636363636363636,237,381,-144,243,6.67
Marist,2022,4,11,0.3636363636363636,236,327,-91,242,6.3
Marshall,2015,10,13,0.7692307692307693,407,231,176,58,170.81
Marshall,2016,3,12,0.25,317,423,-106,62,165.64
Marshall,2017,8,13,0.6153846153846154,347,259,88,75,149.98
Marshall,2018,9,13,0.6923076923076923,367,284,83,51,176.55
Marshall,2019,8,13,0.6153846153846154,335,325,10,87,132.84
Marshall,2020,7,10,0.7,285,130,155,74,165.85
Marshall,2021,7,13,0.5384615384615384,429,309,120,71,165.42
Marshall,2022,9,13,0.6923076923076923,318,208,110,96,146.14
Marshall,2023,6,13,0.4615384615384615,296,373,-77,125,101.55
Maryland,2015,3,12,0.25,296,413,-117,38,193.11
Maryland,2016,6,13,0.4615384615384615,335,384,-49,41,190.98
Maryland,2017,4,12,0.3333333333333333,289,445,-156,47,182.31
Maryland,2018,5,12,0.4166666666666667,342,344,-2,41,190.15
Maryland,2019,3,12,0.25,303,416,-113,18,230.17
Maryland,2020,2,5,0.4,118,160,-42,28,218.34
Maryland,2021,7,13,0.5384615384615384,381,399,-18,47,192.18
Maryland,2022,8,13,0.6153846153846154,366,301,65,31,209.67
Maryland,2023,8,13,0.6153846153846154,386,292,94,19,230.29
